hour_start,consumption,temperature_2m,precipitation,day_of_week
2024-01-01 00:00:00,0.69,7.765,0.0,0
2024-01-01 01:00:00,0.75,7.515,0.0,0
2024-01-01 02:00:00,1.68,7.015,0.0,0
2024-01-01 03:00:00,0.53,7.065,0.0,0
2024-01-01 04:00:00,0.28,6.815,0.0,0
2024-01-01 05:00:00,0.37,6.915,0.0,0
2024-01-01 06:00:00,0.61,6.515,0.0,0
2024-01-01 07:00:00,2.78,6.265,0.0,0
2024-01-01 08:00:00,1.54,5.915,0.0,0
2024-01-01 09:00:00,1.5,6.265,0.0,0
2024-01-01 10:00:00,4.42,6.915,0.0,0
2024-01-01 11:00:00,4.87,7.815,0.0,0
2024-01-01 12:00:00,3.76,8.315,0.0,0
2024-01-01 13:00:00,1.59,8.415,0.0,0
2024-01-01 14:00:00,1.4,8.615,0.0,0
2024-01-01 15:00:00,3.06,8.515,0.0,0
2024-01-01 16:00:00,3.08,7.965,0.5,0
2024-01-01 17:00:00,2.93,7.865,0.4,0
2024-01-01 18:00:00,5.13,8.415,0.8,0
2024-01-01 19:00:00,3.4,8.915,1.0,0
2024-01-01 20:00:00,2.47,9.265,1.6,0
2024-01-01 21:00:00,0.62,9.515,2.2,0
2024-01-01 22:00:00,1.91,10.015,1.8,0
2024-01-01 23:00:00,1.36,10.665,2.6,0
2024-01-02 00:00:00,3.21,11.965,0.4,1
2024-01-02 01:00:00,1.19,12.265,0.0,1
2024-01-02 02:00:00,3.13,12.265,0.0,1
2024-01-02 03:00:00,2.9,11.515,0.0,1
2024-01-02 04:00:00,0.08,11.015,0.0,1
2024-01-02 05:00:00,0.38,10.515,0.0,1
2024-01-02 06:00:00,0.08,10.715,0.2,1
2024-01-02 07:00:00,2.81,10.765,0.0,1
2024-01-02 08:00:00,3.11,10.815,0.1,1
2024-01-02 09:00:00,0.31,10.915,0.7,1
2024-01-02 10:00:00,0.45,11.115,1.7,1
2024-01-02 11:00:00,0.77,12.465,0.9,1
2024-01-02 12:00:00,2.94,12.665,1.7,1
2024-01-02 13:00:00,2.27,12.065,1.3,1
2024-01-02 14:00:00,1.59,12.965,0.3,1
2024-01-02 15:00:00,2.78,12.065,0.3,1
2024-01-02 16:00:00,1.61,11.215,0.1,1
2024-01-02 17:00:00,1.42,10.465,0.0,1
2024-01-02 18:00:00,1.27,10.265,0.0,1
2024-01-02 19:00:00,3.89,10.115,0.0,1
2024-01-02 20:00:00,3.11,9.215,0.0,1
2024-01-02 21:00:00,0.64,8.965,0.0,1
2024-01-02 22:00:00,1.51,8.765,0.0,1
2024-01-02 23:00:00,2.59,8.615,0.0,1
2024-01-03 00:00:00,1.66,8.465,0.0,2
2024-01-03 01:00:00,0.85,8.715,0.0,2
2024-01-03 02:00:00,0.83,8.515,0.0,2
2024-01-03 03:00:00,0.72,8.165,0.0,2
2024-01-03 04:00:00,1.75,8.365,0.1,2
